document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
,ID,A rdfs:isDefinedBy,,,A owl:deprecated,,,,A rdfs:label,A rdfs:comment,A dcterms:description,A IAO:0000112,TYPE,,DOMAIN,,
2020-07-26T07:00:00-04:00,DWC:inDescribedPlace,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,In Described Place,Use to link a dcterms:Location instance subject to the lowest level standardized hierarchically-described resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces Darwin Core literal-value terms related to locations. See Section 2.7.5 of the Darwin Core RDF Guide for details.",`http://vocab.getty.edu/tgn/1019987`,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:identifiedBy,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Identified By (IRI),"A person, group, or organization who assigned the Taxon to the subject.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:recordedBy,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Recorded By (IRI),"A person, group, or organization responsible for recording the original Occurrence.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:toTaxon,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,To Taxon,"Use to link a dwc:Identification instance subject to a taxonomic entity such as a taxon, taxon concept, or taxon name use.","A ""convenience property"" that replaces Darwin Core literal-value terms related to taxonomic entities. See Section 2.7.4 of the Darwin Core RDF Guide for details.",,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:inCollection,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,In Collection,Use to link any subject resource that is part of a collection to the collection containing the resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces literal-value terms related to collections and institutions. See Section 2.7.3 of the Darwin Core RDF Guide for details.",,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:georeferencedBy,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Georeferenced By (IRI),"A person, group, or organization who determined the georeference (spatial representation) for the Location.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:behavior,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Behavior (IRI),A description of the behavior shown by the subject at the time the Occurrence was recorded.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:dataGeneralizations,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Data Generalizations (IRI),Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
2020-07-26T07:00:00-04:00,DWC:disposition,http://rs.tdwg.org/dwc/iri/,3/27/15,3/27/15,,,,,Disposition (IRI),The current state of a specimen with respect to the collection identified in collectionCode or collectionID.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,owl:ObjectProperty,not in ABCD,,,
