document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,Type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
,ID,A rdfs:isDefinedBy,,,A owl:deprecated,,,,A rdfs:label,A rdfs:comment,A dcterms:description,A IAO:0000112,TYPE,,DOMAIN,,
2021-07-27T08:04:18-05:00,DWC:acceptedNameUsage,http://rs.tdwg.org/dwc/terms/,2009-09-21,2021-07-15,,http://rs.tdwg.org/dwc/terms/acceptedScientificName,,,Accepted Name Usage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon.","The full scientific name, with authorship and date information if known, of the accepted (botanical) or valid (zoological) name in cases where the provided scientificName is considered by the reference indicated in the accordingTo property, or of the content provider, to be a synonym or misapplied name. When applied to an Organism or Occurrence, this term should be used in cases where a content provider regards the provided scientificName to be inconsistent with the taxonomic perspective of the content provider. For example, there are many discrepancies within specimen collections and observation datasets between the recorded name (e.g., the most recent identification from an expert who examined a specimen, or a field identification for an observed organism), and the name asserted by the content provider to be taxonomically accepted.",`Tamias minimus` (valid name for Eutamias minimus).,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2021-07-27T08:04:18-05:00,DWC:acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/,2009-09-21,2021-07-15,,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,,,Accepted Name Usage ID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,This term should be used for synonyms or misapplied names to refer to the taxonID of a Taxon record that represents the accepted (botanical) or valid (zoological) name. For Darwin Core Archives the related record should be present locally in the same archive.,"`tsn:41107` (ITIS), `urn:lsid:ipni.org:names:320035-2` (IPNI), `2704179` (GBIF), `6W3C4` (COL)",owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,simple
2017-09-23T06:53:00-05:00,DWC:acceptedScientificName,http://rs.tdwg.org/dwc/terms/,2009-07-06,2009-09-21,True,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,,,Accepted Scientific Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,"Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/,2009-07-06,2009-08-24,True,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,,,Accepted Scientific Name ID,A unique identifier for the acceptedScientificName.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AcceptedTaxon,http://rs.tdwg.org/dwc/terms/,2008-11-19,2009-04-24,True,,,,Accepted Taxon,The currently valid (zoological) or accepted (botanical) name for the ScientificName.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AcceptedTaxonID,http://rs.tdwg.org/dwc/terms/,2009-01-21,2009-04-24,True,,,,Accepted Taxon ID,A global unique identifier for the parent to the AcceptedTaxon.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonID,http://rs.tdwg.org/dwc/terms/,2009-08-24,2009-09-21,True,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,,,Accepted Taxon ID,An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.,"Example: ""8fa58e08-08de-4ac1-b69c-1235340b7001""",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonName,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-07-06,True,http://rs.tdwg.org/dwc/terms/AcceptedTaxon,,,Accepted Taxon Name,The currently valid (zoological) or accepted (botanical) name for the scientificName.,"Example: ""Tamias minimus"" valid name for ""Eutamias minimus""",,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/,2009-04-24,2009-07-06,True,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,,,Accepted Taxon Name ID,A unique identifier for the acceptedTaxonName.,,,owl:ObjectProperty,not in ABCD,http://rs.tdwg.org/dwc/terms/Taxon,,
2017-09-23T06:53:00-05:00,DWC:AccessConstraints,http://rs.tdwg.org/dwc/terms/,2008-11-19,2009-09-21,True,,,,Access Constraints,A description of constraints on the use of the data as shared or access to further data that is not shared.,"Example: ""not-for-profit use only"".",,owl:ObjectProperty,DataSets/DataSet/Units/Unit/IPRStatements,http://rs.tdwg.org/dwc/terms/Sample,,
2020-08-06T10:55:00-05:00,DWC:accordingTo,http://rs.tdwg.org/dwc/terms/,2009-01-21,2020-08-06,True,,,,According To,Abstract term to attribute information to a source.,,,owl:ObjectProperty,not in ABCD,,,
